"","group","CDC25B","CDK4","MMP1","MMP7","PLAU","SLC7A5","TEAD4","TRIB3"
"GSM543237","Tumor",1625.872,4871.775,784.5361,3863.0803,5657.7173,144.35852,1193.3514,28734.672
"GSM543238","Tumor",1735.9331,3025.7078,1342.6373,2471.272,2674.2988,159.78696,614.3929,24423.69
"GSM543239","Tumor",1012.0659,700.03925,365.13815,136.20175,1095.9673,102.61189,240.55843,2591.5312
"GSM543240","Tumor",2092.642,3303.0034,3765.9336,2908.079,2573.8323,65.551,319.3996,6666.324
"GSM543241","Tumor",1377.3523,1351.7743,193.32365,31.210163,1124.8152,87.136696,326.06897,5068.6284
"GSM543242","Tumor",2824.4265,4036.3914,2803.4426,9239.55,2279.9329,54.871716,860.88214,9225.409
"GSM543243","Tumor",1017.4201,2408.7498,54.616703,165.20511,1522.7999,67.635445,247.57202,13593.802
"GSM543244","Tumor",460.5536,2188.1084,17437.812,1703.3143,754.78613,37.153652,339.84125,4763.533
"GSM543245","Tumor",2549.8513,3909.8965,497.9898,6314.2695,1387.0254,114.47752,601.4364,25090.422
"GSM543246","Tumor",4197.067,6008.002,294.38046,2171.7917,1513.5311,176.11942,1535.023,26963.38
"GSM543247","Tumor",3521.58,4468.261,554.8087,7910.9253,1710.6136,148.221,616.9369,29322.467
"GSM543248","Tumor",742.3194,2050.506,945.20306,47.485043,2502.837,63.151093,426.4012,6691.0566
"GSM543249","Tumor",2083.2222,3008.6711,50.34071,2583.255,1906.4818,110.38132,422.58975,24188.13
"GSM543250","Tumor",548.8066,4191.148,1245.698,4822.183,1055.3555,78.33289,1108.0269,12962.728
"GSM543251","Tumor",1116.6238,2416.4114,342.04858,5540.1597,1844.7441,110.19788,174.81718,6917.083
"GSM543252","Tumor",1418.9019,2543.567,59.2242,813.352,705.44135,80.00935,210.24457,819.9932
"GSM543253","Tumor",1579.6259,1555.5371,113.597626,1086.6635,1316.9001,105.9364,222.09212,3557.8103
"GSM543254","Tumor",1650.189,3719.9014,7459.3086,228.16554,3467.8567,123.7667,734.7704,24686.35
"GSM543255","Normal",247.40843,491.5494,32.08256,86.04026,174.84418,20.490652,89.16805,324.1897
"GSM543256","Normal",716.4623,1621.8412,2384.336,441.69223,880.1588,77.59635,312.22903,1039.353
"GSM543257","Normal",201.24553,1004.3284,313.53784,4.944101,337.9648,65.90508,129.14418,792.1093
"GSM543258","Normal",387.40485,947.66925,406.324,8.991094,356.3742,66.12345,319.5846,591.7458
"GSM543259","Normal",308.31512,1001.2566,250.4522,2.925662,697.41113,42.899,198.34444,538.3719
"GSM543260","Normal",230.96387,889.2086,305.06998,6.2468066,681.0308,27.995966,79.05029,452.33807
"GSM543261","Normal",161.9265,754.0137,46.568134,8.407188,537.0113,15.16847,74.668724,268.62387
"GSM543262","Normal",245.19733,652.0789,378.5604,27.537573,341.55084,9.438482,85.27416,887.0587
"GSM543263","Normal",87.87223,197.45401,132.00963,1.789947,125.895325,16.714031,15.507188,198.59915
