"PC-1"	"PC-2"	"Batch"	"Group"
"GSM1923682"	37.6441908843372	12.4237174141193	"GSE74602"	"Tumor"
"GSM1923683"	-36.9587405829252	-6.52517668037791	"GSE74602"	"Normal"
"GSM1923684"	31.6477025228124	2.75715986725991	"GSE74602"	"Tumor"
"GSM1923685"	-57.373027796312	-72.7510324466797	"GSE74602"	"Normal"
"GSM1923686"	27.450142981222	15.7187268178863	"GSE74602"	"Tumor"
"GSM1923687"	-27.40929798348	23.1095890628783	"GSE74602"	"Normal"
"GSM1923688"	37.7606029983483	-8.64126808951716	"GSE74602"	"Tumor"
"GSM1923689"	-29.9941288519283	19.5178080610643	"GSE74602"	"Normal"
"GSM1923690"	34.8307449767907	14.8149525951606	"GSE74602"	"Tumor"
"GSM1923691"	-18.4424581576468	13.3284304922875	"GSE74602"	"Normal"
"GSM1923692"	38.9470619960848	17.6295532460442	"GSE74602"	"Tumor"
"GSM1923693"	-48.6398741834212	-47.710146234864	"GSE74602"	"Normal"
"GSM1923694"	30.3656728474618	15.2385215406733	"GSE74602"	"Tumor"
"GSM1923695"	-42.7535253434421	1.38139161610551	"GSE74602"	"Normal"
"GSM1923696"	11.5269793832765	-9.47226248401982	"GSE74602"	"Tumor"
"GSM1923697"	-38.5610287053631	-8.23697748202765	"GSE74602"	"Normal"
"GSM1923698"	38.7500970163475	4.77151531302572	"GSE74602"	"Tumor"
"GSM1923699"	-36.3099390382269	-10.5824434814642	"GSE74602"	"Normal"
"GSM1923700"	-12.3934238626347	-98.4004199154755	"GSE74602"	"Tumor"
"GSM1923701"	-47.2713444966471	-55.3043623662505	"GSE74602"	"Normal"
"GSM1923702"	35.0274426348215	9.25055635641637	"GSE74602"	"Tumor"
"GSM1923703"	-27.4721794114691	11.6013488224792	"GSE74602"	"Normal"
"GSM1923704"	35.722977482256	22.2964675510313	"GSE74602"	"Tumor"
"GSM1923705"	-30.9743579712024	25.7472415963218	"GSE74602"	"Normal"
"GSM1923706"	31.6526159229663	-18.5553307013603	"GSE74602"	"Tumor"
"GSM1923707"	-41.8777528514168	-53.2076464433756	"GSE74602"	"Normal"
"GSM1923708"	13.9071682907116	-48.629650033372	"GSE74602"	"Tumor"
"GSM1923709"	-30.1531097683319	8.11431863398252	"GSE74602"	"Normal"
"GSM1923710"	59.3341161731414	27.8731105163874	"GSE74602"	"Tumor"
"GSM1923711"	-29.464193340193	28.8739163987315	"GSE74602"	"Normal"
"GSM1923712"	44.2960911613357	4.99629631336883	"GSE74602"	"Tumor"
"GSM1923713"	-21.3546013051929	42.9599233832647	"GSE74602"	"Normal"
"GSM1923714"	38.1599798528835	29.4705825263544	"GSE74602"	"Tumor"
"GSM1923715"	-30.2866451820271	36.1182165930945	"GSE74602"	"Normal"
"GSM1923716"	27.6167850284903	11.6613760607306	"GSE74602"	"Tumor"
"GSM1923717"	-30.814290641945	27.3044914688279	"GSE74602"	"Normal"
"GSM1923718"	42.8650015657451	9.47801632204717	"GSE74602"	"Tumor"
"GSM1923719"	-32.8219552515618	5.63527786977889	"GSE74602"	"Normal"
"GSM1923720"	45.6202423569666	-5.19538424852825	"GSE74602"	"Tumor"
"GSM1923721"	-20.088574480042	-33.0674013297943	"GSE74602"	"Normal"
"GSM1923722"	28.5415080801657	20.6521575151543	"GSE74602"	"Tumor"
"GSM1923723"	-31.1127154518955	28.4593028186154	"GSE74602"	"Normal"
"GSM1923724"	23.1852457767359	-9.75082246647364	"GSE74602"	"Tumor"
"GSM1923725"	-41.8525695754762	-17.8165237460354	"GSE74602"	"Normal"
"GSM1923726"	32.1487696399186	-11.3974705996627	"GSE74602"	"Tumor"
"GSM1923727"	-36.3362595331583	1.62666213321077	"GSE74602"	"Normal"
"GSM1923728"	48.2531641854528	-16.4090352345017	"GSE74602"	"Tumor"
"GSM1923729"	-41.581490328916	-16.0591719139184	"GSE74602"	"Normal"
"GSM4224323"	-27.0322840390059	12.8321385211566	"GSE142279"	"Normal"
"GSM4224324"	20.694809417549	-2.61250503377373	"GSE142279"	"Tumor"
"GSM4224325"	-28.4947056397762	5.08350793470726	"GSE142279"	"Normal"
"GSM4224326"	32.7280065382528	4.38360097916598	"GSE142279"	"Tumor"
"GSM4224327"	-29.7115724745077	9.67158842513982	"GSE142279"	"Normal"
"GSM4224328"	29.7549680828268	-21.2276298496354	"GSE142279"	"Tumor"
"GSM4224329"	-27.7615057540164	16.7821338961097	"GSE142279"	"Normal"
"GSM4224330"	28.7908859130201	-11.9517313885099	"GSE142279"	"Tumor"
"GSM4224331"	-46.5349902823685	-6.40855310982287	"GSE142279"	"Normal"
"GSM4224332"	28.6744048821481	-5.88321341319089	"GSE142279"	"Tumor"
"GSM4224333"	-28.7958479046583	13.2259866990888	"GSE142279"	"Normal"
"GSM4224334"	34.4337120889719	-17.0143170367026	"GSE142279"	"Tumor"
"GSM4224335"	-16.6769414746712	23.856394529102	"GSE142279"	"Normal"
"GSM4224336"	26.6932299152399	-8.45406767794242	"GSE142279"	"Tumor"
"GSM4224337"	-33.0584578196773	8.34787173109804	"GSE142279"	"Normal"
"GSM4224338"	33.9676115750359	-3.16077270272337	"GSE142279"	"Tumor"
"GSM4224339"	-28.79542106941	8.29384893023177	"GSE142279"	"Normal"
"GSM4224340"	26.2724847800611	-16.8140339475647	"GSE142279"	"Tumor"
"GSM4224341"	-29.1500337272827	15.1551717063558	"GSE142279"	"Normal"
"GSM4224342"	30.1949168507371	-7.22700957796732	"GSE142279"	"Tumor"
"GSM4224343"	-24.9870609522665	21.2476920581788	"GSE142279"	"Normal"
"GSM4224344"	25.7792639156327	-12.3480751646898	"GSE142279"	"Tumor"
"GSM4224345"	-22.1268792341237	7.76132518354141	"GSE142279"	"Normal"
"GSM4224346"	27.4974814299071	-4.09330390585232	"GSE142279"	"Tumor"
"GSM4224347"	-30.6603866404601	4.42868485544308	"GSE142279"	"Normal"
"GSM4224348"	42.0449954177896	-10.2702336522593	"GSE142279"	"Tumor"
"GSM4224349"	-26.1840172130453	10.1795651031635	"GSE142279"	"Normal"
"GSM4224350"	20.6488995915999	-17.3978794858006	"GSE142279"	"Tumor"
"GSM4224351"	-23.6353764203706	14.9176200636076	"GSE142279"	"Normal"
"GSM4224352"	35.1883712892754	-6.36058678595123	"GSE142279"	"Tumor"
"GSM4224353"	-28.0819988631893	11.6609124910784	"GSE142279"	"Normal"
"GSM4224354"	38.2382585324662	-7.54223058287109	"GSE142279"	"Tumor"
"GSM4224355"	-30.5474727924466	1.69036756968792	"GSE142279"	"Normal"
"GSM4224356"	21.1615588697525	-5.82606967183229	"GSE142279"	"Tumor"
"GSM4224357"	-18.2761750820364	20.101722974813	"GSE142279"	"Normal"
"GSM4224358"	20.1250485663474	-4.87311150325888	"GSE142279"	"Tumor"
"GSM4224359"	-30.7330723240873	4.12889530750173	"GSE142279"	"Normal"
"GSM4224360"	25.3070833953374	-17.741593386547	"GSE142279"	"Tumor"
"GSM4224361"	-26.7658658412168	14.9671232341538	"GSE142279"	"Normal"
"GSM4224362"	11.3027660606516	-34.8563930233225	"GSE142279"	"Tumor"
