"name","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient","cnt_score","essentialNode"
"RPA3",2.72961373390558,0.000437581672611333,0.366352201257862,0.757142857142857,21,6,FALSE,54.1904761904762,0,21,0,0.980345298478346,FALSE,0,"RPA3",346,0.521062271062271,100.583333333333,"Yes"
"RPL29",3.06437768240343,0.000178824630212706,0.326330532212885,0.666666666666667,9,6,FALSE,18.4444444444444,0,9,0,0.976541162699961,FALSE,0,"RPL29",124,0.335353535353535,85.1333333333333,"No"
"RPLP0",2.27467811158798,0.0182080002457242,0.439622641509434,0.349206349206349,28,5,FALSE,23.1428571428571,0,28,0,0.985515021459227,FALSE,0,"RPLP0",10002,0.149308755760369,116.4,"Yes"
"RPP40",3.17167381974249,0.000115035292574608,0.315290933694181,0.4,5,6,FALSE,17.6,0,5,0,0.975321888412017,FALSE,0,"RPP40",30,0.395454545454545,80.7166666666667,"No"
"RPS15",2.75536480686695,0.00185535552983079,0.362928348909657,0.397435897435897,13,6,FALSE,21.1538461538462,0,13,0,0.980052672649239,FALSE,0,"RPS15",1154,0.18988218988219,97.4833333333333,"No"
"RPS21",3,0.000596155339724052,0.333333333333333,0.611111111111111,9,6,FALSE,18.1111111111111,0,9,0,0.977272727272727,FALSE,0,"RPS21",296,0.278632478632479,87.2166666666667,"No"
"RPS7",2.90557939914163,0.00184329967297935,0.344165435745938,0.4,15,6,FALSE,16.6,0,15,0,0.978345688646118,FALSE,0,"RPS7",752,0.212820512820513,92.6333333333333,"No"
"RRS1",2.51072961373391,0.00507926273521121,0.398290598290598,0.691176470588235,17,5,FALSE,21.5882352941176,0,17,0,0.982832618025751,FALSE,0,"RRS1",3524,0.181413741967375,104.266666666667,"Yes"
"RTKN",3.2618025751073,0,0.306578947368421,1,2,7,FALSE,43,0,2,0,0.974297698010144,FALSE,0,"RTKN",0,0.693548387096774,79.7595238095238,"No"
"S100P",2.98283261802575,0.00139289270078131,0.335251798561151,0,3,7,FALSE,27,0,3,0,0.977467811158798,FALSE,0,"S100P",468,0.351351351351351,86.4261904761905,"No"
"SALL4",2.70386266094421,0,0.36984126984127,1,3,6,FALSE,34,0,3,0,0.980637924307452,FALSE,0,"SALL4",0,0.361702127659574,92.65,"No"
"SCD",3.32188841201717,0.00870955422161579,0.301033591731266,0.4,5,6,FALSE,5.8,0,5,0,0.973614904408896,FALSE,0,"SCD",2778,0.311111111111111,75.45,"No"
"SERPINB5",3.1931330472103,0.00426284932329021,0.313172043010753,0,5,7,FALSE,5.6,0,5,0,0.975078033554428,FALSE,0,"SERPINB5",546,0.209090909090909,78.7261904761905,"No"
