"","node1","node2","score"
"345","AURKA","CCNB1",0.979
"346","AURKA","UBE2C",0.986
"347","AURKA","CCNB2",0.988
"348","AURKA","CDC20",0.995
"349","AURKA","TACC3",0.998
"350","AURKA","TPX2",0.999
"351","AURKB","TRIP13",0.788
"352","AURKB","RNASEH2A",0.506
"353","AURKB","FBL",0.449
"354","AURKB","RAD51AP1",0.52
"355","AURKB","CDC25B",0.65
"356","AURKB","CCNB1",0.962
"357","AURKB","CDK4",0.608
"358","AURKB","TROAP",0.836
"359","AURKB","KIF11",0.964
"360","AURKB","MCM4",0.722
"361","AURKB","CHTF18",0.441
"362","AURKB","MCM2",0.702
"363","AURKB","CDCA5",0.968
"364","AURKB","BUB1B",0.999
"365","AURKB","CCNB2",0.99
"366","AURKB","MAD2L1",0.93
"367","AURKB","MELK",0.902
"368","AURKB","PCLAF",0.785
"369","AURKB","TPX2",0.94
"370","AURKB","CDT1",0.79
"371","AURKB","BUB1",0.997
"372","AURKB","CDC25A",0.746
"373","AURKB","CDCA7",0.635
"374","AURKB","MCM7",0.785
"375","AURKB","CKS1B",0.66
"376","AURKB","PRKDC",0.552
"377","AURKB","IMPDH2",0.403
"378","AURKB","IQGAP3",0.427
"379","AURKB","UBE2T",0.435
"380","AURKB","HSPD1",0.437
"381","AURKB","STIL",0.454
"382","AURKB","LMNB2",0.489
"383","AURKB","TIMELESS",0.533
"384","AURKB","RAD54L",0.564
"385","AURKB","DDX21",0.576
"386","AURKB","UHRF1",0.616
"387","AURKB","DNMT1",0.619
"388","AURKB","MCM3",0.669
"389","AURKB","DTL",0.68
"390","AURKB","RFC4",0.715
"391","AURKB","CDKN3",0.724
"392","AURKB","CKS2",0.738
"393","AURKB","TYMS",0.738
"394","AURKB","TACC3",0.74
"395","AURKB","CHEK1",0.754
"396","AURKB","HMMR",0.76
"397","AURKB","MYC",0.761
"398","AURKB","TK1",0.767
"399","AURKB","TTK",0.784
"400","AURKB","PBK",0.791
"401","AURKB","EXO1",0.797
"402","AURKB","PRC1",0.85
"403","AURKB","KIF15",0.858
"404","AURKB","CEP55",0.864
"405","AURKB","NUSAP1",0.909
"406","AURKB","CENPF",0.925
"407","AURKB","CDCA3",0.933
"408","AURKB","KIF4A",0.942
"409","AURKB","PTTG1",0.949
"410","AURKB","UBE2C",0.955
"411","AURKB","TOP2A",0.97
"412","AURKB","RCC2",0.973
"413","AURKB","KIF20A",0.99
"414","AURKB","CCNA2",0.991
"415","AURKB","KIF2C",0.996
"416","AURKB","CENPA",0.997
"417","AURKB","CDC20",0.998
"418","AURKB","CDCA8",0.999
"419","AXIN2","SOX9",0.639
"420","AXIN2","MMP7",0.537
"421","AXIN2","NKD1",0.927
"422","AXIN2","ITGA2",0.416
"423","AXIN2","NKD2",0.543
"424","AXIN2","EPHB3",0.433
"425","AXIN2","BMP7",0.437
"426","AXIN2","MSX1",0.636
"427","AXIN2","MYC",0.794
"428","AXIN2","RNF43",0.805
"429","AZGP1","C4BPB",0.441
"430","AZGP1","STC2",0.476
"431","AZGP1","UBE2C",0.4
"432","AZGP1","SERPINB5",0.407
"433","AZGP1","CFB",0.441
"434","AZGP1","CST1",0.624
"435","BACE2","HKDC1",0.471
"436","BMP7","SOX9",0.636
"437","BMP7","MMP3",0.408
"438","BMP7","MSX1",0.587
"439","BOP1","EXOSC5",0.404
"440","BOP1","FBL",0.963
"441","BOP1","WDR12",0.999
"442","BOP1","RPL29",0.77
"443","BOP1","RRS1",0.962
"444","BOP1","LYAR",0.635
"445","BOP1","DDX21",0.838
"446","BOP1","DKC1",0.955
"447","BOP1","PUS1",0.677
"448","BOP1","WDR4",0.796
"449","BOP1","MYC",0.44
"450","BOP1","RPS7",0.65
"451","BOP1","POLR1C",0.691
"452","BUB1","TRIP13",0.725
"453","BUB1","RAD51AP1",0.724
"454","BUB1","CDC25B",0.475
"455","BUB1","CCNB1",0.992
"456","BUB1","CDK4",0.685
"457","BUB1","TROAP",0.729
"458","BUB1","KIF11",0.985
"459","BUB1","MCM4",0.751
"460","BUB1","CHTF18",0.516
"461","BUB1","CSE1L",0.477
"462","BUB1","POLQ",0.409
"463","BUB1","MCM2",0.542
"464","BUB1","CDCA5",0.933
"465","BUB1","BUB1B",0.999
"466","BUB1","CCNB2",0.998
"467","BUB1","MAD2L1",0.999
"468","BUB1","MELK",0.984
"469","BUB1","PCLAF",0.831
