"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"6.233009708737864","0.01932275633435946","0.16043613707165108","0.0","2","10","false","SMPDL3A","2.0","0","2","0","0.8364684466019418","false","0","SMPDL3A","5600","0.5"
"3.441747572815534","0.02154479921275229","0.29055007052186177","0.3333333333333333","13","8","false","ADH1B","8.307692307692308","0","13","0","0.9236953883495146","false","0","ADH1B","6554","0.2679900744416873"
"3.29126213592233","0.049710568176558736","0.30383480825958703","0.09523809523809523","7","8","false","AHCYL2","8.142857142857142","0","7","0","0.9283980582524272","false","0","AHCYL2","9186","0.1978021978021978"
"4.048543689320389","0.015037506228959975","0.24700239808153474","0.1","5","9","false","AKR1B10","6.8","0","5","0","0.9047330097087378","false","0","AKR1B10","3406","0.3263157894736842"
"3.907766990291262","0.0010673691181958558","0.25590062111801243","0.26666666666666666","6","9","false","UGT1A5","10.666666666666666","0","6","0","0.9091322815533981","false","0","UGT1A5","640","0.4444444444444444"
"3.8689320388349513","6.622314707014436E-4","0.2584692597239649","0.6666666666666666","7","9","false","UGT1A7","11.285714285714286","0","7","0","0.9103458737864077","false","0","UGT1A7","464","0.4514285714285714"
"3.8689320388349513","6.622314707014436E-4","0.2584692597239649","0.6666666666666666","7","9","false","UGT1A10","11.285714285714286","0","7","0","0.9103458737864077","false","0","UGT1A10","464","0.4514285714285714"
"3.8349514563106797","1.646608874013544E-4","0.2607594936708861","0.6666666666666666","6","9","false","SULT1A2","11.333333333333334","0","6","0","0.9114077669902912","false","0","SULT1A2","142","0.5151515151515151"
"3.4805825242718447","0.015890853527250025","0.28730822873082285","0.2545454545454545","11","8","false","ADH1C","8.272727272727273","0","11","0","0.9224817961165048","false","0","ADH1C","5664","0.27575757575757576"
"3.5242718446601944","0.015351848060076712","0.2837465564738292","0.16666666666666666","4","7","false","MAOA","12.0","0","4","0","0.9211165048543689","false","0","MAOA","3154","0.32857142857142857"
"3.087378640776699","0.06928762902171673","0.3238993710691824","0.08333333333333333","9","7","false","SERPINB5","9.222222222222221","0","9","0","0.9347694174757282","false","0","SERPINB5","11416","0.16775599128540306"
"3.79126213592233","0.006874923723013103","0.26376440460947503","0.4","5","9","false","MTHFD2","5.4","0","5","0","0.9127730582524272","false","0","MTHFD2","1064","0.3"
"3.3932038834951457","0.024337854657953396","0.2947067238912732","0.14285714285714285","7","8","false","SHMT2","4.714285714285714","0","7","0","0.9252123786407767","false","0","SHMT2","3612","0.18633540372670807"
"3.5825242718446604","0.020346006295197363","0.27913279132791324","0.0","4","8","false","SELENBP1","9.25","0","4","0","0.9192961165048543","false","0","SELENBP1","2520","0.25"
"3.820388349514563","0.0339136324283065","0.2617534942820839","0.17857142857142858","8","9","false","SLC4A4","5.875","0","8","0","0.9118628640776699","false","0","SLC4A4","5542","0.22"
"3.79126213592233","0.011503688977332338","0.26376440460947503","0.0","3","9","false","SORD","6.0","0","3","0","0.9127730582524272","false","0","SORD","1664","0.3333333333333333"
"3.9514563106796117","0.014287757724018173","0.25307125307125306","0.13333333333333333","6","9","false","DHRS11","7.833333333333333","0","6","0","0.9077669902912622","false","0","DHRS11","2406","0.3055555555555556"
"5.043689320388349","0.0","0.1982675649663138","0.0","1","10","false","DHRS9","5.0","0","1","0","0.8736347087378641","false","0","DHRS9","0","0.0"
"3.6116504854368934","1.5786565632646618E-5","0.2768817204301075","0.8333333333333334","4","7","false","ANK2","13.5","0","4","0","0.9183859223300971","false","0","ANK2","2","0.421875"
"3.0533980582524274","0.012783286022579634","0.32750397456279806","0.44761904761904764","15","7","false","MMP7","14.8","0","15","0","0.9358313106796117","false","0","MMP7","3462","0.22424242424242424"
"3.6116504854368934","1.5786565632646618E-5","0.2768817204301075","0.8333333333333334","4","7","false","ANK3","13.5","0","4","0","0.9183859223300971","false","0","ANK3","2","0.421875"
"3.616504854368932","0.0","0.276510067114094","1.0","3","7","false","EPB41L3","13.333333333333334","0","3","0","0.9182342233009708","false","0","EPB41L3","0","0.4166666666666667"
"3.1601941747572817","0.04189281674720432","0.31643625192012287","0.1388888888888889","9","7","false","ANPEP","10.0","0","9","0","0.9324939320388349","false","0","ANPEP","7782","0.17901234567901234"
"3.995145631067961","5.9030269918417E-4","0.2503037667071689","0.0","2","8","false","CEACAM7","9.5","0","2","0","0.9064016990291263","false","0","CEACAM7","140","0.53125"
