"PC-1"	"PC-2"	"Batch"	"Group"
"GSM1077645"	71.5994852116695	21.0860246443586	"GSE44076"	"Normal"
"GSM1077646"	72.4743606902895	21.9039210569922	"GSE44076"	"Normal"
"GSM1077647"	75.3717109131002	21.4768924392425	"GSE44076"	"Normal"
"GSM1077648"	71.6076508822114	21.0146726355564	"GSE44076"	"Normal"
"GSM1077649"	71.4074538283539	21.6801117149496	"GSE44076"	"Normal"
"GSM1077650"	71.9043014864503	18.6729617414919	"GSE44076"	"Normal"
"GSM1077651"	71.5887759293265	22.2507741888198	"GSE44076"	"Normal"
"GSM1077652"	75.8363388836602	20.3407623429939	"GSE44076"	"Normal"
"GSM1077653"	70.2257218564294	20.4732489417347	"GSE44076"	"Normal"
"GSM1077654"	72.8187963209874	19.7051450038569	"GSE44076"	"Normal"
"GSM1077655"	72.9298475964873	20.5380567286916	"GSE44076"	"Normal"
"GSM1077656"	70.7058551702603	21.8092945763504	"GSE44076"	"Normal"
"GSM1077657"	74.1265524567654	20.5449496292909	"GSE44076"	"Normal"
"GSM1077658"	70.0037191886147	21.3271800156928	"GSE44076"	"Normal"
"GSM1077659"	74.7835077962138	18.1585066417002	"GSE44076"	"Normal"
"GSM1077660"	71.6208101309813	20.3883750397413	"GSE44076"	"Normal"
"GSM1077661"	71.41834544242	22.2922364344491	"GSE44076"	"Normal"
"GSM1077662"	72.049987637554	20.6840268150883	"GSE44076"	"Normal"
"GSM1077663"	73.5926450310955	20.6116182109694	"GSE44076"	"Normal"
"GSM1077664"	71.2970373844645	21.850577296677	"GSE44076"	"Normal"
"GSM1077665"	73.2792552893303	18.2885244495289	"GSE44076"	"Normal"
"GSM1077666"	72.446328774557	20.5372683527686	"GSE44076"	"Normal"
"GSM1077667"	72.5774427291012	21.565103750109	"GSE44076"	"Normal"
"GSM1077668"	72.0792255616885	20.5726942942684	"GSE44076"	"Normal"
"GSM1077669"	72.6853981698341	17.8172300800767	"GSE44076"	"Normal"
"GSM1077670"	75.1801578012932	13.3845679124165	"GSE44076"	"Normal"
"GSM1077671"	71.7484127087006	21.226640073744	"GSE44076"	"Normal"
"GSM1077672"	71.2651293297784	20.1828158119677	"GSE44076"	"Normal"
"GSM1077673"	71.3902064834701	21.0935369502996	"GSE44076"	"Normal"
"GSM1077674"	72.8683636291794	19.6962522181483	"GSE44076"	"Normal"
"GSM1077675"	73.1786877473847	20.8415469076981	"GSE44076"	"Normal"
