"","group","CDC25B","CDK4","MMP1","MMP7","PLAU","SLC7A5","TEAD4","TRIB3"
"GSM1923717","Normal",8.69199299325985,8.38197958667981,6.70160522370895,5.13492184845096,8.25644096214086,7.35867147441114,6.61942987960717,6.869512436152
"GSM1923718","Tumor",11.2334884596595,10.5304463420146,10.9460736553548,9.76756130600423,9.17225466333694,9.83420717655568,8.90003217957934,9.19438329676291
"GSM1923719","Normal",8.82216986880581,9.13835931874097,5.94759858168047,5.26581057499057,7.40217892666946,7.47795387993496,6.83879317758933,6.58095621452619
"GSM1923721","Normal",9.68024590952799,9.60155129430896,4.84333407496344,5.27181606174528,7.18647532883134,7.54714888922078,6.83237605770958,6.39038756518261
"GSM1923722","Tumor",10.4512599571658,9.49188745816379,9.22996905876516,9.11692737797469,7.78804283318035,8.46386857126491,9.01328511629449,8.05806375964635
"GSM1923723","Normal",8.48273974974605,8.4771524221651,5.99694501640912,5.03549843318296,8.60875658886379,7.20631954131496,6.42271562302482,6.42740438396314
"GSM1923726","Tumor",10.6065430104698,9.93725221016044,12.1024138673107,10.4636043578262,11.1117304181836,8.89936310198458,8.68383980604512,8.9882645494118
"GSM1923727","Normal",8.57821694097673,8.37690750266822,6.52150173147601,4.99766156541806,7.77796194812246,7.77363141904022,6.41051438583129,6.65804243051843
"GSM1923728","Tumor",10.8696206504041,11.0044913429686,10.5122182441419,9.22195923006428,10.8387708086736,11.5499671671007,9.8195877026905,9.58289726059982
"GSM1923729","Normal",8.0119295295723,7.67875323728039,6.24106192936848,4.89925674494808,7.46437503266265,6.77192831419931,5.8759622130459,6.46779678909897
"GSM277497","Normal",9.23073426828213,9.27682961806401,6.40677332582406,5.67600850130409,8.86665615388784,7.69436752474468,7.30532471928261,6.82639775557101
"GSM277499","Normal",8.11505553536704,7.56884387219631,6.05485654349816,5.38729760138327,6.4297364809394,5.89839860597795,6.41658285798301,5.9822576401046
"GSM277500","Tumor",9.22009387660217,9.34329591150886,9.10485122737208,9.8707506949704,9.22837013639831,9.74051076227186,8.28473489726506,8.64798406747208
"GSM277501","Normal",9.44604076704704,8.94413435801059,5.51451905042604,5.69663161883003,9.29632167960929,7.05984659972431,7.56807623719411,6.42282417709317
"GSM277502","Tumor",8.98643160485283,8.60487648797603,10.4345971501921,7.82537497960275,8.52207947490727,7.83535947486263,6.88145988988109,8.0268234969238
"GSM277503","Normal",8.69099839419181,8.86024804300777,5.47841886362605,5.35494758614994,7.553688264545,7.03840349972611,7.97448053757837,6.56494727697437
"GSM277505","Normal",8.35279911525582,8.22077845729474,5.93072990104243,5.46732091169006,6.95377403071918,7.0057287621976,6.07812414064826,6.19570107966809
"GSM277506","Tumor",11.0612592435178,10.4917076127867,8.09268528613727,7.9927086104998,7.62802171639435,8.66276126583577,8.69480058967063,8.53657815328503
"GSM277508","Tumor",9.40236433519461,10.2564983400205,9.75233769606858,7.54617935511344,10.2201955443663,10.0126948218421,9.3881508439942,8.16095676166955
"GSM277509","Normal",8.7317527892425,8.85141697887254,6.64224199338837,5.5800918319568,8.27309215936197,7.614655392248,7.12749301886788,6.65315465865931
"GSM277510","Tumor",10.7378268833633,9.59613158915792,8.0989735846551,9.30611692378342,9.96168373472019,8.74688770288422,8.33904544080662,9.09925011726317
"GSM277512","Tumor",11.1517083456729,10.675679128727,9.88226937687471,9.72407065366058,8.73009718405872,10.4175778558713,8.83103105990858,10.0706514101885
"GSM277513","Normal",8.56878934828064,8.5478284152522,5.49212605574023,5.61183183745734,8.11641711031694,7.45619273197465,6.99414886985907,6.36856855026812
"GSM277514","Tumor",10.0985621571965,9.63570403856206,10.9809480822498,8.69704550884028,10.6537991232427,8.94058401783548,7.90768942820986,8.0586528045739
"GSM277516","Tumor",10.0568870099667,9.88626076293372,9.2006516227091,7.34210846474032,9.13071480617975,9.29941052578203,8.23755050529641,8.89346359464304
"GSM277519","Normal",8.67738212130901,8.23997828008353,5.76067739314632,5.7804697388544,7.23054672233675,6.94067101066999,6.51534451769655,6.73129994857265
"GSM277520","Tumor",10.5651459981144,10.3297388061292,10.4061032891707,10.6235285801235,9.80191431029405,9.5674653819133,9.10173129702812,8.86058780472146
"GSM277521","Normal",8.11263277863088,7.61940720079837,6.01213098436028,5.82271811332634,7.32165290070038,6.72378647168448,6.13151215950133,6.79838171389474
"GSM277523","Normal",8.91743279185422,9.18550914845779,6.25219139567093,5.44095534106988,7.50730543735344,7.17492500430304,6.45693974853563,6.64380847740183
"GSM277525","Normal",9.01483131672908,9.16799860578087,5.57050969113454,5.51245167201556,7.60595630148528,7.43260070674175,6.41693456953633,6.169134641466
"GSM277527","Normal",9.04002384951796,8.85969615933413,6.36892881206639,5.39188108767304,7.72138089530974,8.18374834085589,7.3378483697508,6.35249679319443
"GSM277528","Tumor",9.90965880155681,10.1578814374141,11.3709033593422,7.20930905417018,10.347715000727,10.7027315446809,8.76176779800082,8.47017457079664
"GSM277529","Normal",8.9037143772296,8.48206611057365,6.19655060027169,5.54336431938473,7.39997515408076,7.9190528566342,7.468688592065,6.37356670668255
"GSM277530","Tumor",10.4138102708262,10.9934591203769,8.25077437517812,11.5148634956373,7.58810200201493,9.44581510578614,8.90388459576454,9.09630412340671
"GSM277531","Normal",8.63026560224129,8.98805905897817,6.18709934933316,5.35230723904684,7.63109808622586,7.02948570671605,6.4049368307309,6.89412326905763
"GSM277532","Tumor",9.6356183665915,10.1703115193435,11.4136679434877,10.0809650033289,10.022153037759,9.18982104036595,8.07603711443438,9.06111483294628
"GSM277535","Normal",8.92519706070643,8.99554705574409,5.87560848003998,5.41491097108669,7.86646096839152,6.80440571298143,6.38710741570627,6.47282816941331
"GSM277537","Normal",9.49625672789858,8.93547999699503,5.61483299091763,5.52253530233392,7.51640330131623,8.6122535722392,7.67506905573049,7.30681422038297
"GSM277539","Normal",6.75704010262043,7.43107653515359,5.41360355650913,5.3213777148255,5.40790866591907,6.95991043592852,5.66032689113276,5.75060197386142
"GSM277540","Tumor",10.0100521547381,10.143085095397,8.66968395354452,9.62618388877146,8.93343302290868,10.1718328542762,8.0863262636294,8.82177712074554
"GSM277542","Normal",8.33673412315593,8.53605023262208,5.71373395262393,5.79972044582831,7.91062123076085,7.53081321786045,7.29437049192298,6.31484351456685
"GSM4224323","Normal",8.4219243498214,9.32584280077039,6.28622327917505,5.33638467062195,7.87561017996272,7.90256986625575,6.31717239193543,6.24864022626376
"GSM4224324","Tumor",9.44831099942729,10.2454394694785,8.13744626157127,10.7885083417985,9.44186901604435,9.84962660416953,9.22613182051603,8.6687853238274
"GSM4224326","Tumor",11.6986083750112,8.21888031823952,8.81843325336332,8.56764513628491,9.45762423675966,8.69079697534035,9.92862502583692,9.75254323872066
"GSM4224327","Normal",8.75943173041823,7.49305938342583,7.02154296876083,6.00153279560306,7.82195552307633,6.99760828389246,6.73147668729765,6.68628016121391
"GSM4224330","Tumor",10.3355750355988,10.2787730847584,6.70167399018421,9.39059447331404,8.2566991430176,9.77229397144878,7.77073291220895,9.71203211744271
"GSM4224331","Normal",8.65497424635991,8.93262144981305,5.71722448663199,5.32296508154261,7.11005559411326,7.8920249351442,6.12024913635567,6.19471231923417
"GSM4224332","Tumor",10.2616950261605,9.842548218249,7.17138935496655,12.4721016504459,9.05543669393461,9.83774393810549,8.26514402198141,9.87150100444993
"GSM4224333","Normal",8.58693055484581,8.24701617460342,7.66849382506808,5.62068929288752,7.79243045739527,6.92638391704135,6.81377518460107,6.13336007929834
"GSM4224334","Tumor",11.1372518606171,10.7566563148944,11.8538416565946,7.85475575277596,10.0330923357717,10.2886048319729,9.08675448123627,9.22418116205793
"GSM4224335","Normal",9.81868459457602,7.24398560739309,6.56200871899326,6.12788334014037,7.40335421126455,7.59290091740322,8.31500622401071,8.16612415374543
"GSM4224336","Tumor",10.4934312228996,10.1427049861205,7.63879187399754,8.01490201633829,8.66798639669127,8.8221621685198,8.59750334893395,10.6144780313315
"GSM4224338","Tumor",10.1825483625644,10.4548288171716,8.962555246082,12.1099253363129,8.73748695619441,10.356674017125,8.23019951304846,8.59138770333095
"GSM4224339","Normal",8.24331413843467,8.94093640173701,5.76845886863982,5.53216820653688,7.20640387939677,7.76141333721028,6.71399096210459,6.40997427726939
"GSM4224340","Tumor",10.6807153141826,10.2005927919304,6.25260563213495,7.59669112606495,8.76268762151288,10.5378999403327,8.33210214502416,7.98328203355929
"GSM4224342","Tumor",10.8939373282203,10.574209703473,9.80316801187638,10.6912996102927,10.2654553140294,11.0761381457378,8.88768226486294,9.52813065000416
"GSM4224345","Normal",8.84371268239613,9.72207596807182,6.28292618612072,5.97873055647547,7.47497424576135,7.78556361705581,7.12042320789133,6.93579083556897
"GSM4224346","Tumor",10.9217767069206,10.8718031953736,9.88895204065753,9.60255759072441,8.96589042979653,8.90449841159371,8.67052894843131,10.2008332797878
"GSM4224347","Normal",8.30917636693912,9.30557575267909,6.04116657757259,5.39256441110371,7.94074922355423,7.60635628472416,6.33495797679084,6.14865353122902
"GSM4224349","Normal",8.51941489170663,9.09467462479613,6.45135775939274,5.66096479089341,7.47250198400938,7.85746465840797,6.54353403507707,6.41219672083143
"GSM4224352","Tumor",11.4192020054291,10.1672501582319,10.4215949295222,9.13684167346535,9.42145707622615,9.79264600365336,8.94606530263233,9.46156969653939
"GSM4224353","Normal",8.56365032756565,8.61941326752547,6.12411573683093,5.51028343355648,7.7145775242063,7.09756574920682,6.68212993796207,6.37726263540248
"GSM4224354","Tumor",10.9172560925182,10.6731904228057,9.00743431883815,7.34244495427588,9.66341513397419,10.1905596589323,8.97175603919518,10.2875084280787
"GSM4224355","Normal",8.85058051568002,7.37364727067163,6.39568427295483,6.00999845832599,7.55739439973979,7.04386629878062,7.13582597499675,6.99276341919625
"GSM4224357","Normal",8.6522096598801,9.38467776408781,5.99261128796351,5.3183910362122,7.03711439660298,7.54438924584135,6.63508158095388,7.06398231919109
"GSM4224358","Tumor",9.57180369436908,9.93356487672545,9.79323203133756,7.3274752835967,8.91178872394667,8.71283704009963,7.45385622955195,8.13785524582516
"GSM4224359","Normal",8.23185357550173,8.98427642096638,7.2731145733009,5.38495624155467,9.01621671453057,7.47257915299579,6.11443681688323,6.4886956640715
"GSM4224361","Normal",8.36422218285253,8.39227430829898,6.14726575216925,5.72392761510917,7.54186923801621,7.09158541193409,6.90185341137316,6.44254120304334
"GSM4224362","Tumor",10.6583109520107,10.1235623268941,13.6129803056656,7.21997873007231,11.643364595539,8.78736002236924,8.65145098448233,7.68092932798627
"GSM615865","Tumor",10.8815576660526,10.041269410303,7.71489747888759,8.7919693820751,8.81515336540299,10.2657420893852,8.2305383591363,10.3302053969097
"GSM615866","Tumor",10.1733427967782,9.76995243426231,10.8987407883428,11.1108157091869,9.70626119256075,9.62607872069798,7.40630330907806,8.15467551246867
"GSM615867","Tumor",10.5562675354969,9.76007377009764,10.7351080812084,10.8741672914109,11.3697558232614,10.2126572019079,7.39898123250102,7.8214139342558
"GSM615868","Tumor",10.2747113167506,10.4862414445687,9.62740567249001,10.1516408155698,9.76534344254228,10.2086984083875,7.90896355312378,8.49297417988726
"GSM615869","Tumor",12.2358681953804,10.3851615097034,8.29717712293009,7.5523011264228,8.58861409729012,11.0635511170785,8.50574208584615,8.23139622978166
"GSM615870","Tumor",10.2623006750105,9.93761894080239,10.1914730871526,7.71813773068913,10.174712301086,9.9320019174057,8.91359224361439,8.97807108976335
"GSM615871","Tumor",10.6631693827789,9.67270341751525,6.2515308907402,9.25413005082349,8.38050649870501,8.98166109403613,8.03224897853078,9.23941877673459
"GSM615872","Tumor",10.2572451954826,9.73964338468542,8.54469643249116,6.53591743334274,8.89062745112171,9.5313712572608,8.06818204159809,9.20860113475428
"GSM615874","Tumor",10.5610918875735,9.34475924066456,7.2591627145124,7.19039546039467,8.55474211810638,10.789391943186,9.50523869095725,8.99067911389532
"GSM615875","Tumor",10.9060183012375,10.4768694097849,8.9898113054925,8.24920602160402,11.3378992003302,11.7401543473229,8.59995405308311,10.114661738131
